duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
0.8960090702947846,4.5351473922902495e-05,19757,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
0.8824036281179138,4.5351473922902495e-05,19457,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
0.8533786848072562,4.5351473922902495e-05,18817,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
0.7253968253968254,4.5351473922902495e-05,15995,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
0.64,4.5351473922902495e-05,14112,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
0.9387301587301587,4.5351473922902495e-05,20699,eight
1.0,4.5351473922902495e-05,22050,eight
0.9387301587301587,4.5351473922902495e-05,20699,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
0.8824036281179138,4.5351473922902495e-05,19457,eight
0.6966439909297052,4.5351473922902495e-05,15361,eight
1.0,4.5351473922902495e-05,22050,eight
0.8824036281179138,4.5351473922902495e-05,19457,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
1.0,4.5351473922902495e-05,22050,eight
0.6966439909297052,4.5351473922902495e-05,15361,eight
