duration,sample_duration,total_sample,class
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
0.5573242630385488,4.5351473922902495e-05,12289,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
0.5120181405895692,4.5351473922902495e-05,11290,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
0.7253968253968254,4.5351473922902495e-05,15995,off
0.98140589569161,4.5351473922902495e-05,21640,off
0.8533786848072562,4.5351473922902495e-05,18817,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
0.810702947845805,4.5351473922902495e-05,17876,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
0.7253968253968254,4.5351473922902495e-05,15995,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
0.9288435374149661,4.5351473922902495e-05,20481,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
0.7680272108843538,4.5351473922902495e-05,16935,off
1.0,4.5351473922902495e-05,22050,off
0.98140589569161,4.5351473922902495e-05,21640,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
0.9752834467120182,4.5351473922902495e-05,21505,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
1.0,4.5351473922902495e-05,22050,off
